timestamp,lat,lon
2026-09-03T00:23:16Z,1.39424,103.68585
2026-09-03T00:23:18Z,1.39349,103.68565
2026-09-03T00:23:20Z,1.39285,103.68533
2026-09-03T00:23:23Z,1.39217,103.6849
2026-09-03T00:23:25Z,1.39136,103.68449
2026-09-03T00:23:27Z,1.39072,103.68421
2026-09-03T00:23:30Z,1.38986,103.68383
2026-09-03T00:23:32Z,1.38933,103.68366
2026-09-03T00:23:35Z,1.38844,103.68336
2026-09-03T00:23:37Z,1.38769,103.6831
2026-09-03T00:23:40Z,1.38696,103.68285
2026-09-03T00:23:42Z,1.38623,103.68263
2026-09-03T00:23:44Z,1.38561,103.68246
2026-09-03T00:23:47Z,1.38507,103.68225
2026-09-03T00:23:49Z,1.3845,103.68208
2026-09-03T00:23:51Z,1.38382,103.68182
2026-09-03T00:23:53Z,1.38293,103.68153
2026-09-03T00:23:56Z,1.38219,103.68129
2026-09-03T00:23:58Z,1.38144,103.68101
2026-09-03T00:24:01Z,1.3808,103.68081
2026-09-03T00:24:03Z,1.3802,103.68062
2026-09-03T00:24:05Z,1.37975,103.68049
2026-09-03T00:24:07Z,1.37889,103.68021
2026-09-03T00:24:10Z,1.37812,103.67992
2026-09-03T00:24:12Z,1.37767,103.67977
2026-09-03T00:24:16Z,1.37669,103.67948
2026-09-03T00:24:20Z,1.37554,103.67915
2026-09-03T00:24:23Z,1.37486,103.67894
2026-09-03T00:24:25Z,1.37413,103.67867
2026-09-03T00:24:31Z,1.37243,103.67812
2026-09-03T00:24:34Z,1.37136,103.67776
2026-09-03T00:25:03Z,1.36293,103.67492
2026-09-03T00:25:16Z,1.3593,103.67376
2026-09-03T00:26:29Z,1.36198,103.66449
2026-09-03T00:26:37Z,1.36457,103.66637
2026-09-03T00:27:29Z,1.37949,103.67673
2026-09-03T00:27:42Z,1.38382,103.67879
2026-09-03T00:27:45Z,1.38484,103.67903
2026-09-03T00:27:47Z,1.3856,103.67924
2026-09-03T00:27:49Z,1.38628,103.6795
2026-09-03T00:27:52Z,1.38713,103.67979
2026-09-03T00:27:54Z,1.38798,103.68018
2026-09-03T00:27:56Z,1.38874,103.68049
2026-09-03T00:27:59Z,1.38972,103.68088
2026-09-03T00:28:01Z,1.39064,103.68122
2026-09-03T00:28:04Z,1.39141,103.68147
2026-09-03T00:28:07Z,1.3923,103.68172
2026-09-03T00:28:09Z,1.39301,103.6818
2026-09-03T00:28:11Z,1.39374,103.68185
2026-09-03T00:28:13Z,1.39455,103.68169
2026-09-03T00:28:16Z,1.39535,103.68143
2026-09-03T00:28:19Z,1.39581,103.68014
2026-09-03T00:28:22Z,1.39602,103.67934
2026-09-03T00:28:25Z,1.39602,103.67867
2026-09-03T00:28:27Z,1.39558,103.67811
2026-09-03T00:28:29Z,1.39469,103.6776
2026-09-03T00:28:32Z,1.39374,103.67724
2026-09-03T00:28:35Z,1.3928,103.67729
2026-09-03T00:28:37Z,1.3922,103.67735
